"BikeID","SetupID","BikeName","PurchaseDate","FrameID","FrontWheelID","RearWheelID","FrontTyreID","RearTyreID","HandlebarID","SeatID","ChainID","ClusterID","s_ColLineage","s_Generation","s_GUID","s_Lineage"
-1888553203,9,"Allez Pro Training Feb 07",,5,4,11,,1098002123,316447664,1,-1974442308,1553152391,,0,,
-1808516619,1,"Meta Race",,-361177460,9,9,,,,,,,,0,,
-1768878488,-818800797,"Swim",,,,,,,-1636207076,,,,,111,,
-1538046177,3,"B Tourer",,-1479174199,740967510,,,,,,,,,40,,
-1330658665,1,"Meta Training",,-361177460,-1238309219,1617166867,,,,825323352,,,,0,,
-539139321,1,"xtr stumpy",,6,9,9,,,,,,,,0,,
-504057392,2,"Tarmac",,146959417,-391627770,2092931541,-806858091,-1035443662,-1370433116,505636978,276543793,627151774,,0,,
-238588661,2,"Tarmac original",,146959417,-391627770,2092931541,2123352075,2025851888,-1370433116,505636978,276543793,627151774,,0,,
1,2,"Allez Comp 2000 Original",,4,3,3,5,4,1,,,,,0,,
2,1,"ATX-890 MTB",,10,,,,6,,,,,,1,,
3,5,"Trainer",,13,,1,,,,,,,,1,,
4,9,"Cyclocross Road",,,3,3,5,4,,,,,,1,,
5,4,"Cyclocross",,,2,2,14,13,,,,,,1,,
6,3,"Nigel's Touring Bike-Bali",,11,,,,7,,,,,,1,,
7,2,"TCR2",,9,,,,,,,,,,1,,
8,1,"Norco MTB",,11,,,,,,,,,,1,,
9,2,"Allez Comp 2000 (2/02 to 7/02)",,4,4,4,12,11,1,,,,,1,,
10,2,"Allez Comp 2000 with Cosmos and Axial Pros",,4,4,4,19,18,1,,,,,1,,
11,6,"Evo 3*1",,8,4,,,,,,,,,1,,
14,2,"TCR Race",,9,4,4,19,18,,,,,,1,,
16,6,"Cucumber",,,,,,,,,,,,1,,
17,3,"ATX-890 for Malaysia",,10,,,,7,,,,,,0,,
19,9,"Allez Comp 2000 Training",,4,4,4,27,26,1,,,,,1,,
20,1,"Stumpjumper Nigel's Original",,7,,,,9,,,,,,1,,
21,1,"Stumpjumper Training",,7,,,,15,,,,,,1,,
22,1,"Bec's Stumpy",,6,,,,20,,,,,,0,,
23,1,"Nigels Stumpjumper with Bec's Crossmax",,7,7,7,,9,,,,,,1,,
24,1,"Bec's Stumpy",,6,7,7,10,9,,,,,,0,,
26,3,"Norco for Malaysia",,11,,,,6,,,,,,1,,
28,8,"ATX-890 for commuting",,10,,,,7,,,,,,1,,
29,1,"ATX-890 after Malaysia",,10,,,,16,,,,,,1,,
30,2,"Allez Comp 2000 (11/03)",,4,4,10,19,18,1,,,,,1,,
31,2,"Allez Pro 2003 Original",,3,10,10,,,,,,,,0,,
32,2,"Allez Comp 2000 TCR rear wheel",,4,4,,19,,1,,,,,0,,
33,2,"Allez Comp 2000 Axial Pros",,4,8,8,19,18,1,,,,,0,,
34,1,"N Stumpjumper training",,7,5,,,20,,,,,,0,,
35,2,"Allez Comp 2000 with Ksyriums",,4,8,8,19,22,1,,,,,1,,
36,1,"Competitor Racing old",,2,9,9,22,21,,2,,,,0,,
37,2,"Em's TCR with Ksyriums",,9,8,8,19,25,,,,,,1,,
39,2,"Allez Pro Race to 04/04",,5,8,8,19,25,1,,,,,1,,
40,9,"Allez Pro Training April 2004",,5,4,11,27,26,1,,,,,1,,
41,2,"Allez Pro Race April 2004",,5,8,8,19,18,1,,,,,1,,
42,9,"Allez Pro Training to August 2004",,5,4,11,27,26,1,1,,,,1,,
43,2,"Allez Pro Race with Ksyriums",,5,8,8,19,18,1,1,,,,1,,
44,9,"Allez Pro Training 2004 (to 09/09/04)",,5,4,11,26,28,1,1,,,,1,,
45,1,"Avanti Comp Race 29-08-04",,2,9,9,10,9,,2,,,,1,,
49,9,"Allez Pro Training (to 09/04)",,5,4,11,26,29,1,1,,,,1,,
50,9,"Allez Pro Training",,5,4,11,26,30,1,1,,,,0,,
51,7,"run",,,,,,,,,,,,1,,
52,1,"JT's bike",,15,7,7,,,,,,,,0,,
53,1,"JT's Bike",,15,,,,,,,,,,0,,
54,2,"Specialised Allez Pro with 7701s",,5,10,10,25,30,1,1,,,,39,,
55,2,"B R Rd",,3,8,8,19,31,,,,,,1,,
56,1,"Avanti Comp Race",,2,9,9,32,33,,2,,,,0,,
92099024,9,"Tarmac Training to July 08",,146959417,4,11,-225951343,1098002123,-1370433116,505636978,276543793,627151774,,0,,
254636362,9,"Tarmac training I",,146959417,4,2066069284,-225951343,1098002123,-1370433116,505636978,276543793,627151774,,0,,
279772822,2,"Specialized Allez Pro Summer 05/06",,5,8,8,,,,1,,,,111,,
407784919,9,"D Roadie",,-1675902637,209001434,577951948,1448185240,-544443463,,,,,,122,,
534227294,2,"Allez Pro 2003 final",,5,8,8,-806858091,-1035443662,316447664,1,-1974442308,1553152391,,0,,
1211585489,3,"N Trek 520",,105349566,-1834843545,-159978771,70793642,-634331421,,,,,,11,,
1742816068,1,"B R MTB",,1740662712,1879149401,-628316881,,,,,,,,0,,
1068612946,9,"t Tarmac",,146959417,4,577951948,-225951343,2025851888,-1370433116,505636978,276543793,627151774,,0,,
774124285,1,"N T MTB",,-954828692,-1238309219,1617166867,,,,825323352,,,,0,,
209699517,1,"N R MTB",,-954828692,1879149401,9,,,,,,,,0,,
