LapID,LapTypeID,PlaceName,PlaceNameID,AreaID,LapName,Strava,LapStart,LapFinish,LapDistCyclo,LapDistMap,LapDistGPS,UpperAltMap,LowerAltMap,ExtraAltMap,UpperAltGPS,LowerAltGPS,LapNotes,LapMap,Gen_LapMap,Gen_LapNotes,s_ColLineage,s_Generation,s_GUID,s_Lineage
201,6,Rollers,,,30 sec efforts for 10 min (with 10 sec recoveries),,,,,,,,,,,,,,1,1,,1,,
1130744973,3,Anywhere,,,400 metres,,,,0.4,0.4,,,,,,,,,,,,27,,
226,3,Anywhere,,,40km Time Trial,,,,,40,,,,,,,,,1,1,,1,,
249,12,Rollers,,,5 min @ 20km/hr. easiest gear,,5 min warmup,,,,,,,,,,,,1,1,,1,,
53,7,Rollers,,,5 min warmup,,,,,0,,,,,,,5 minutes of fast walking to warm up before run,,1,1,,1,,
175,1,Adelaide,,,Acklands Hill,,Main Rd,Left Corner just after Weymouth Rd,,2.48,,400,190,,,,,Bitmap Image.bmp,1,1,,1,,
284,1,Adelaide,,,Aldgate Valley,Aldgate Valley Road,Turnoff from Stock Rd,Strathalbyn Rd,5.15,5.09,,400,340,,,,,,1,1,,1,,
316,8,Adelaide,,,Aldgate Valley to Sturt Valley,,end of Aldgate Valley lap,start of Sturt Valley lap,5.15,,,,,,,,,,1,1,,1,,
217,10,Adelaide,,,Andersons,,Start of dirt opposite cemetery,Landing opposite James Rd,0.92,0.86,,250,160,,,,,,1,1,,1,,
296,1,Adelaide,,,Angel Gully - Grants Gully Rd,,Chalk Hill intersection,Piggott Range Rd,,1.99,,360,250,10,,,,,1,1,,1,,
214,1,Adelaide,,,Ansteys Hill,,corner at bottom,Range Rd on left at top,2.83,2.92,,410,225,,,,,,1,1,,1,,
55,1,Adelaide,,,Bains Rd,,Knox Rd,T junction sign (~50m before Pygott Range Rd),,3.1,,340,165,,,,,,1,1,,1,,
291,1,Adelaide,,,Bakers Gully Rd,,Chapel Hill intersection,Brooks Rd turnoff,2.48,2.47,,250,160,,,,,,1,1,,1,,
1389145880,2,Adelaide,,,Bartagunyah,,,,,,,,,,,,,,,,,0,,
40,1,Adelaide,,,Belair NW Gate,,line on road,lip of rail bridge,1.28,1.25,,300,260,,,,,,1,1,,1,,
54,1,Adelaide,,,Belair Rd Long,Belair Rd,Traffic Lights,Green 'letter box',3.61,3.67,,315,105,,,,,,1,1,,1,,
6,1,Adelaide,,,Belair Rd Short,Windy Point Climb,White line at start of Cezanne Ct,End of gutter before Belair Triangle,,3.15,,315,250,,,,,,1,1,,1,,
210,1,Adelaide,,,Belair Rd to Eastern Gate,,End of Belair Rd Lap,Start of Cherry Plantation Rd Lap,6.24,6.24,,345,270,,,,via Sheoak Rd,,1,1,,1,,
300,1,Adelaide,,,Birch-WaverleyRidge,,driveway to Mt Lofty Station,Just after roundabout,1.3,1.27,,570,510,,,,,,1,1,,1,,
319,1,Adelaide,,,Blackwood,,End of bikepath,Driveway to Tyre Place & Mechanics,0.72,0.73,,265,225,,,,,,1,1,,27,,
63,1,Adelaide,,,Blockers Rd,,Intersection with Wyes/Merchants Rds,Mawson Rd,,3.91,,555,330,,532,338,,,1,1,,1,,
1028593277,1,Riverland,,,Bookpurnong Hill,,Rd on right,Rd on left,,,,,,,,,,,,,,0,,
59,1,Adelaide,,,Burdetts Rd,Burdetts Road (Little Italy),Bridge at bottom,'Roundabout' at Lobethal Rd,,1.6,,450,330,,420,308,,,1,1,,40,,
