"LapTimeID","RideID","LapID","LStart","LFinish","LTime","LHRAverage","LDis","LAscent","LCadenceAv","LTemperature","LapNotes","Gen_LapNotes","s_ColLineage","s_Generation","s_GUID","s_Lineage"
211,436,26,"1899-12-30 00:00:07","1899-12-30 00:29:57","1899-12-30 00:29:50",132,6.1,,,,,1,,92,,
212,436,26,"1899-12-30 00:49:39","1899-12-30 01:15:47","1899-12-30 00:26:08",142,6.1,,,,,1,,92,,
213,436,26,"1899-12-30 01:23:25","1899-12-30 01:48:48","1899-12-30 00:25:23",139,6.1,,,,,1,,92,,
214,447,50,"1899-12-30 02:08:55","1899-12-30 02:38:40","1899-12-30 00:29:45",159,9,,,,,1,,92,,
215,451,11,"1899-12-30 01:15:42","1899-12-30 01:35:38","1899-12-30 00:19:56",167,,,,,,1,,0,,
216,452,11,"1899-12-30 01:23:25","1899-12-30 01:48:34","1899-12-30 00:25:09",164,,,,,,1,,0,,
217,453,54,"1899-12-30 02:21:27","1899-12-30 02:35:15","1899-12-30 00:13:48",157,,,,,,1,,0,,
218,456,54,"1899-12-30 00:56:33","1899-12-30 01:11:24","1899-12-30 00:14:51",134,,,,,,1,,0,,
219,456,2,"1899-12-30 01:29:24","1899-12-30 01:35:59","1899-12-30 00:06:35",132,,,,,,1,,0,,
220,460,11,"1899-12-30 01:11:07","1899-12-30 01:33:20","1899-12-30 00:22:13",138,,,,,,1,,0,,
221,464,54,"1899-12-30 02:25:52","1899-12-30 02:37:50","1899-12-30 00:11:58",175,,,,,,1,,0,,
222,464,2,"1899-12-30 02:55:31","1899-12-30 03:01:39","1899-12-30 00:06:08",162,,,,,,1,,0,,
223,465,54,"1899-12-30 01:09:33","1899-12-30 01:24:55","1899-12-30 00:15:22",140,,,,,,1,,0,,
224,465,2,"1899-12-30 01:46:08","1899-12-30 01:53:02","1899-12-30 00:06:54",138,,,,,,1,,0,,
225,468,54,"1899-12-30 00:08:56","1899-12-30 00:23:04","1899-12-30 00:14:08",146,,,,,,1,,0,,
226,469,54,"1899-12-30 01:09:36","1899-12-30 01:21:08","1899-12-30 00:11:32",173,,,,,,1,,0,,
227,469,2,"1899-12-30 01:39:29","1899-12-30 01:45:11","1899-12-30 00:05:42",150,,,,,,1,,0,,
