"Activity Score","When","Type","Gear","Name","Dist km","Elv m","Elapsed Time","Moving Time","Start Time","Day of Week","Speed km/h","Max Speed km/h","Pace /km","Max Pace /km","Pace /100m","Max Pace /100m","Pwr W","Weighted Avg Pwr W","Max Pwr W","Power Meter","Cad","Heart","Max Heart","Elev/Dist m/km","Elev/Time m/h","W/HR","Speed/HR","Temp °C","Cal","Energy kJ","Segs","PRs","Group Size","Kudos","Comments","Com","Trn","Man","Pri","Dist away km","Activity Score 25%","Training Load","Intensity %","Segment PRs (K/QOM positions)","All segments (personal positions)","Ride/Run Type","400m","1 km","5 km","10 km","15 km","20 km","30 km","50 km","1/2 Mile","1 mile","2 mile","10 mile","Half Marathon","Marathon","Relative Effort","Points in red","% in red","H/R Zone 1","H/R Zone 2","H/R Zone 3","H/R Zone 4","H/R Zone 5","Power 0W","Power 0-50W","Power 50-100W","Power 100-150W","Power 150-200W","Power 200-250W","Power 250-300W","Power 300-350W","Power 350-400W","Power 400-450W","Power 450W+","Pace Zone 1","Pace Zone 2","Pace Zone 3","Pace Zone 4","Pace Zone 5","Flagged","Description","City","State","Tiles calculated","Device/App","Activity Id","Activity Id"
60.151590649790556,"2019-04-18 16:18:57","Ride","a perfect blend","Afternoon Ride",6936.7,37.3,2237,1497,58737,"Thursday",4.6337,8.2,215.79999999999998,121.95,21.58,12.195,114.3,0,,0,0,,0,5.38,89.7,0,0,,190.9,171.2,7,0,2,0,0,1,0,0,1,-1,84.81001114601277,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,268,379,191,192,170,94,62,58,28,21,34,0,0,0,0,0,0,"",,,0,"Strava iPhone App",2298565953,2298565953
41.25180128934395,"2019-04-18 08:41:19","Ride","a perfect blend","Morning Ride",5918.4,7,1172,1089,31279,"Thursday",5.4347,8.5,184,117.65,18.4,11.765,93.5,0,,0,0,,0,1.18,23.1,0,0,14,116.2,101.8,2,0,2,0,0,1,0,0,1,-1,45.3924914675768,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,258,149,189,260,137,47,33,13,2,1,0,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2303585237,2303585237
87.76415460250317,"2019-04-17 17:18:52","Ride","a perfect blend","Afternoon Ride",6590.7,36.9,1294,1095,62332,"Wednesday",6.0189,12.2,166.1,81.97,16.61,8.197000000000001,162.5,0,,0,0,,0,5.6,121.3,0,0,,198.4,177.9,6,1,1,0,0,1,0,0,1,-1,97.71191311413679,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,158,136,119,156,150,117,89,66,39,17,48,0,0,0,0,0,0,"",,,0,"Strava iPhone App",2296053818,2296053818
35.395145999241564,"2019-04-17 09:22:58","Ride","a perfect blend","Morning Ride",6866.7,2.2,1387,1305,33778,"Wednesday",5.2618,9.5,190,105.26,19,10.526,107,0,,0,0,,0,0.32,6.1,0,0,,155.7,139.6,2,0,1,0,0,1,0,0,1,-1,57.67918088737202,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,376,288,150,116,113,73,63,39,28,14,45,0,0,0,0,0,0,"",,,0,"Strava iPhone App",2295528969,2295528969
45.13205725784509,"2019-04-17 06:32:13","Ride","a perfect blend","Morning Ride",39839.6,938,8291,7984,23533,"Wednesday",4.9899,20.3,200.4,49.26,20.04,4.926,147.1,0,,0,0,,0,23.54,422.9,0,0,20,1349.4,1174.6,42,1,1,0,0,0,0,0,1,-1,77.09571100314231,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1893,613,937,550,1246,1376,401,420,362,81,105,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2295425677,2295425677
60.1404132246932,"2019-04-16 15:08:15","Ride","a perfect blend","Afternoon Ride",6377.7,38,1301,1216,54495,"Tuesday",5.2448,7.4,190.70000000000002,135.14000000000001,19.07,13.514000000000001,131.5,0,,0,0,,0,5.96,112.5,0,0,28,183.2,159.9,8,1,1,0,0,1,0,0,1,-1,87.38209432454036,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,192,67,239,320,135,95,133,30,1,3,1,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2293258482,2293258482
41.78801668562761,"2019-04-16 08:26:01","Ride","a perfect blend","Morning Ride",6100.5,9,1207,1102,30361,"Tuesday",5.5358,7.9,180.60000000000002,126.58,18.060000000000002,12.658,95.1,0,,0,0,,0,1.48,29.4,0,0,22,119.6,104.8,2,0,1,0,0,1,0,0,1,-1,58.020477815699664,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,235,159,177,292,155,35,33,11,4,1,0,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2293223208,2293223208
45.896387365909966,"2019-04-13 07:01:02","Ride","a perfect blend","Morning Ride",105050,1450,16998,16284,25262,"Saturday",6.4511,17.1,155,58.48,15.5,5.848,173.8,0,,0,0,,0,13.8,320.6,0,0,16,3232.5,2830.4,51,11,1,0,0,0,0,0,1,-1,67.52066159960897,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2487,1184,1583,1975,2577,2491,1351,1174,820,258,384,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2285383507,2285383507
52.14100008594349,"2019-04-12 17:29:05","Ride","a perfect blend","Afternoon Ride",5111.3,35,915,915,62945,"Friday",5.5861,8.5,179,117.65,17.9,11.765,148.2,0,,0,0,,0,6.85,137.7,0,0,18,155.2,135.6,8,0,1,0,0,1,0,0,1,-1,82.15978143106129,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,93,41,166,237,138,95,107,28,10,0,0,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2285029969,2285029969
56.08600855336877,"2019-04-10 15:42:54","Ride","a perfect blend","Afternoon Ride",39003.2,795,7444,7208,56574,"Wednesday",5.4111,18.7,184.79999999999998,53.48,18.48,5.348,154.6,0,,0,0,,0,20.38,397.1,0,0,13,1279.3,1114.1,44,1,1,0,0,0,0,0,1,-1,82.16302397886021,0,0,,,"",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1524,449,913,805,903,1148,423,451,435,67,90,0,0,0,0,0,0,"",,,0,"Wahoo ELEMNT BOLT",2278880378,2278880378
