Man,Frame,Bars,Use,Cost,Weight,Size,TopTubeEff,SeatTubeCT,HeadTube,HeadAngle,SeatAngle,BBDrop,ChainStay,StandOver,TopTubeSlope,ForkRake,Reach,Stack,WheelBase,FrontCentre
Moots,Routt,Drop,Gravel,6999,1630,54,540,510,150,71.5,74,69,423,802.64,11.6,47,371,591,,
Moots,Routt,Drop,Gravel,6999,1630,55,550,520,160,71.5,73.5,69,423,810.26,11.5,47,373,601,,
Moots,Routt,Drop,Gravel,6999,1630,56,560,530,170,72,73.25,69,423,822.96,11,47,377,612,,
Moots,Routt RSL,Drop,Gravel,8299,1506,54,545,510,130,72.5,74,69,430,782.32,,,379,576,,
Moots,Routt RSL,Drop,Gravel,8299,1506,55,555,520,140,72.5,73.5,69,430,789.94,,,381,585,,
Moots,Routt RSL,Drop,Gravel,8299,1506,56,565,530,150,72.5,73.25,69,430,800.1,,,385,595,,
Moots,Routt 45,Drop,Gravel,6999,1630,54,540,510,150,71.5,74,69,450,802.64,11.6,47,371,591,,
Moots,Routt 45,Drop,Gravel,6999,1630,55,555,520,160,71.5,73.5,69,450,810.26,11.5,47,373,601,,
Moots,Routt 45,Drop,Gravel,6999,1630,56,560,530,170,72,73.25,69,450,822.96,11,47,377,612,,
Moots,Vamoots RSL,Drop,Road,7999,1360,54,545,480,135,73.25,74,72,407,751.84,10.9,43,385,560,,
Moots,Vamoots RSL,Drop,Road,7999,1360,55,555,490,145,73.5,73.5,72,410,762,10.9,43,387,572,,
Moots,Vamoots RSL,Drop,Road,7999,1360,56,565,500,155,73.5,73.25,72,410,772.16,10.7,43,391,580,,
Moots,Vamoots,Drop,Endurance,6459,,54,540,540,150,72.25,74,78,415,784.86,4.8,50,373,579,,
Moots,Vamoots,Drop,Endurance,6459,,55,550,550,160,72.5,73.5,76,415,789.94,4.9,50,377,586,,
Moots,Vamoots,Drop,Endurance,6459,,56,560,560,170,72.75,73.25,76,415,800.1,5,50,381,597,,
Moots,Psychlo X RSL,Drop,CX,,,54,550,540,130,72.5,73.5,61,423,812.8,5.5,,383,568,,
Moots,Psychlo X RSL,Drop,CX,,,55,560,550,140,72.5,73.5,61,423,822.96,5.4,,390,577,,
Moots,Psychlo X RSL,Drop,CX,,,56,570,560,150,72.5,73,61,423,833.12,5.4,,392,587,,
Curve,Belgie,Drop,Road,3699,,54,545,540,140,73,73.5,69,410,781,,,381,552,980,580
Curve,Belgie,Drop,Road,3699,,56,560,565,155,73,73.5,67,410,801,,,392,565,996,595
Curve,Belgie Spirit,Drop,Endurance,3599,,54,542,520,160,71.5,73.8,72,420,0,,,374,574,1003,594
Curve,Belgie Spirit,Drop,Endurance,3599,,56,562,540,180,72.5,73.5,70,422,0,,,385,594,1012,602
Curve,GXR,Drop,Gravel,3899,,55.5,555,550,125,71.5,73,70,432,808,,,381,565,1026,604
Curve,GXR,Drop,Gravel,3899,,56.5,565,560,136,71.5,73,70,432,818,,,388,575,1036,614
Cannondale,SuperX,Drop,CX,,1040,52,540,520,135,71.5,73.5,67,430,804,,,374,560,1011,590
Cannondale,SuperX,Drop,CX,,1040,54,550,540,150,73.5,73.5,67,430,822,,,379,576,1017,596
Cannondale,SuperX,Drop,CX,,1040,56,570,560,160,73,73,67,430,836,,,390,588,1026,605
Baum,Standard,Drop,Road,,,54,540,535,140,,73,67.5,,,,,371,550,,
Baum,Standard,Drop,Road,,,55,550,555,150,,73,67.5,,,,,377,565,,
Baum,Standard,Drop,Road,,,56,560,565,160,,73,67.5,,,,,384,575,,
Kinesis,Tripster ATR,Drop,Gravel,2750,2000,54,550,540,160,70.5,74,70,440,,,45,383.8,579.4,1038.25,616
Kinesis,Tripster ATR,Drop,Gravel,2750,2000,55.5,560,555,172.5,70.5,73,70,440,,,45,384.7,591.2,1043.8,616
Kinesis,Tripster ATR,Drop,Gravel,2750,2000,57,570,570,185,70.5,73,70,440,,,45,385.6,603,1054.4,626
Open,UP,Drop,Gravel,4393.12,1040,55,549,540,130,71,72.5,70,420,767,,50,376,551,1008,598
Open,UP,Drop,Gravel,4393.12,1040,57,570,560,155,72.5,72.5,70,420,791,,50,387,580,1014,604
