"Total","Type","Name","★","PR Pos","Tries","PR Pos Score","City","State","Dist km","Elapsed Time","Grade %","Max Grade %","Elv gain m","Elv change m","Max Elv m","Cat","Speed km/h","Pace /km","Pace /100m","VAM","pVAM","RP","Heart Rate","Max HR","Cadence","Power (W)","Power Meter","FTP (W)","FTP bpm","Activity","Gear","When","Others","Bearing","Segment Id","Cmts","Activity Id"
52,"Ride","MtOsmond-Bullock-OldFreeway",1,1,230,99.56709956709956,"St Georges","SA",6913.6,1575,5.81134,32.6495,429.019,400.903,587.187,"2nd",4.3895873015873015,227.81184910900254,22.781184910900254,916.3497142857143,,3.5501826495087596,151.3,170,,292.4,0,280.064375,144.91703125,"20/12/12 Adelaide, SA, Australia","a perfect blend","2012-12-20 17:41:25",1,138.401,654168,0,33186375
52,"Ride","MtOsmond-Bullock-OldFreeway",1,2,230,99.13419913419914,"St Georges","SA",6905.9,1584,5.81134,32.6495,429.019,400.903,587.187,"2nd",4.3597853535353535,229.36909019823628,22.936909019823627,911.1431818181818,,3.530011157182005,163.2,178,,270.3,0,258.9474,156.3456,"24/01/13 Adelaide, SA, Australia","a perfect blend","2013-01-24 18:28:47",1,138.401,654168,0,38511303
52,"Ride","MtOsmond-Bullock-OldFreeway",1,3,230,98.7012987012987,"St Georges","SA",6906.7,1635,5.81134,32.6495,429.019,400.903,587.187,"2nd",4.224281345565749,236.72665672462972,23.672665672462973,882.7222018348624,,3.419900717416695,156.5,168,68.2,262.6,1,251.8498125,150.09328125,"08/07/14 Adelaide, SA, Australia","a perfect blend","2014-07-08 16:11:11",1,138.401,654168,0,163176568
52,"Ride","MtOsmond-Bullock-OldFreeway",1,4,230,98.26839826839827,"St Georges","SA",6916.9,1692,5.81134,32.6495,429.019,400.903,587.187,"2nd",4.0880023640661936,244.61825384203908,24.46182538420391,852.9851063829788,,3.3046912960852817,157.4,178,,263.7,0,253.21792499999998,151.14335,"Afternoon Ride","a perfect blend","2018-03-29 15:48:36",1,138.401,654168,0,1477523531
52,"Ride","MtOsmond-Bullock-OldFreeway",1,5,230,97.83549783549783,"St Georges","SA",6902.8,1698,5.81134,32.6495,429.019,400.903,587.187,"2nd",4.0652532391048295,245.98713565509647,24.598713565509648,849.9710247349824,,3.2930139416821533,153.8,166,68.7,263.8,1,253.346925,147.705675,"31/07/14 Adelaide, SA, Australia","a perfect blend","2014-07-31 16:46:42",1,138.401,654168,0,173406200
52,"Ride","MtOsmond-Bullock-OldFreeway",1,6,230,97.40259740259741,"St Georges","SA",6907.1,1707,5.81134,32.6495,429.019,400.903,587.187,"2nd",4.046338605741067,247.1370039524547,24.713700395245468,845.4896309314587,,3.275651829511597,157.9,170,,225.7,0,216.79895624999997,151.67281875,"Afternoon Ride","roadie","2018-05-08 16:04:23",1,138.401,654168,0,1557243693
52,"Ride","MtOsmond-Bullock-OldFreeway",1,7,230,96.96969696969697,"St Georges","SA",6899.58,1713,5.81134,32.6495,429.019,400.903,587.187,"2nd",4.027775831873905,248.27598201629667,24.827598201629666,842.5281961471104,,3.2641784430684746,157.5,176,,263.7,0,253.33329374999997,151.30828125,"31/05/12 Adelaide, SA, Australia","tourer","2012-05-31 17:38:27",1,138.401,654168,0,9768925
52,"Ride","MtOsmond-Bullock-OldFreeway",1,8,230,96.53679653679653,"St Georges","SA",6899.2,1728,5.81134,32.6495,429.019,400.903,587.187,"2nd",3.9925925925925925,250.4638218923933,25.04638218923933,835.2145833333334,,3.2358435607501717,157.4,171,66.4,243.2,1,233.71519999999998,151.2614,"04/12/14 - last one of these","a perfect blend","2014-12-04 16:41:03",1,138.401,654168,0,226230828
52,"Ride","MtOsmond-Bullock-OldFreeway",1,9,230,96.1038961038961,"St Georges","SA",7110.7,1729,5.81134,32.6495,429.019,400.903,587.187,"2nd",4.112608444187392,243.1546823800751,24.315468238007508,834.7315211104685,,3.2339720491476553,151.7,164,67.2,253.4,1,243.52267916666668,145.78686041666666,"18/07/14 Adelaide, SA, Australia","a perfect blend","2014-07-18 16:41:39",1,138.401,654168,0,167519380
52,"Ride","MtOsmond-Bullock-OldFreeway",1,10,230,95.67099567099567,"St Georges","SA",6912,1731,5.81134,32.6495,429.019,400.903,587.187,"2nd",3.9930675909878683,250.4340277777778,25.04340277777778,833.7670710571924,,3.2302355129845735,157.4,173,42,0,1,0,151.27123749999998,"Afternoon Ride","a perfect blend","2018-05-01 16:11:39",1,138.401,654168,0,1542265652
52,"Ride","MtOsmond-Bullock-OldFreeway",1,11,230,95.23809523809524,"St Georges","SA",6924,1756,5.81134,32.6495,429.019,400.903,587.187,"2nd",3.9430523917995446,253.6106296938186,25.36106296938186,821.8968109339409,,3.1842469663874127,162.3,177,,260,0,250.01166666666663,156.064975,"03/01/12 Adelaide, SA, Australia","tourer","2012-01-03 17:09:40",1,138.401,654168,0,3056813
52,"Ride","MtOsmond-Bullock-OldFreeway",1,12,230,94.8051948051948,"St Georges","SA",6901.9,1760,5.81134,32.6495,429.019,400.903,587.187,"2nd",3.9215340909090908,255.00224575841435,25.500224575841436,820.0288636363637,,3.177010041463805,146.3,161,,231.8,0,222.91433333333333,140.69183333333334,"05/02/14 Adelaide, SA, Australia","a perfect blend","2014-02-05 17:15:47",1,138.401,654168,0,111284301
52,"Ride","MtOsmond-Bullock-OldFreeway",1,13,230,94.37229437229438,"St Georges","SA",6898.5,1767,5.81134,32.6495,429.019,400.903,587.187,"2nd",3.904074702886248,256.1426397042835,25.614263970428354,816.7803056027165,,3.16442426314448,150.9,166,,249.3,0,239.77985625,145.13750625,"19/02/14 Adelaide, SA, Australia","a perfect blend","2014-02-19 17:10:18",1,138.401,654168,0,114410371
52,"Ride","MtOsmond-Bullock-OldFreeway",1,14,230,93.93939393939394,"St Georges","SA",6904.9,1771,5.81134,32.6495,429.019,400.903,587.187,"2nd",3.898870694522868,256.48452548190414,25.648452548190413,814.9355166572558,,3.1572770598398057,146.9,163,,252.8,0,243.16726666666668,141.30249791666665,"An unexpected light","a perfect blend","2018-03-18 16:20:35",1,138.401,654168,0,1458740939
