Source,RideID,Date,Dist,Time,AvS,Ascent,Commute,MaxHR,AvHR,AvPwr,Temp,MaxS,Gear,loc1,loc2,Kudos,Notes,Year,Month,yearMonth,halfDec,location,administrative_area_level_1,country,state,gLoc
Access,182,1999-06-04,47.92,8445,20.42770870337478,NA,0,NA,NA,NA,NA,NA,tourer,Bali,Indonesia,NA,Eastwood-Airport-Airport-Ubud,1999,6,Jun 1999,1995,"Bali, Indonesia",NA,NA,NA,NA
Access,180,1999-06-05,48.16,8717,19.889411494780312,NA,0,NA,NA,NA,NA,NA,tourer,Bali,Indonesia,NA,Around Ubud,1999,6,Jun 1999,1995,"Bali, Indonesia",NA,NA,NA,NA
Access,178,1999-06-06,49.23,13629,13.003742020691172,NA,0,NA,NA,NA,NA,NA,tourer,Bali,Indonesia,NA,Ubud-Kedisan,1999,6,Jun 1999,1995,"Bali, Indonesia",NA,NA,NA,NA
Access,237,1999-06-07,24.74,5904,15.085365853658537,NA,0,NA,NA,NA,NA,NA,tourer,Bali,Indonesia,NA,Around Kedisan,1999,6,Jun 1999,1995,"Bali, Indonesia",NA,NA,NA,NA
Access,145,1999-06-08,68.64,13283,18.603026424753445,NA,0,NA,NA,NA,NA,NA,tourer,Bali,Indonesia,NA,Kedisan-Ubud,1999,6,Jun 1999,1995,"Bali, Indonesia",NA,NA,NA,NA
Access,109,1999-06-09,85.63,20339,15.156497369585523,NA,0,NA,NA,NA,NA,NA,tourer,Bali,Indonesia,NA,Ubud-Candikuning,1999,6,Jun 1999,1995,"Bali, Indonesia",NA,NA,NA,NA
Access,158,1999-06-10,57.5,12755,16.228929831438652,NA,0,NA,NA,NA,NA,NA,tourer,Bali,Indonesia,NA,Candikuning-Lovina,1999,6,Jun 1999,1995,"Bali, Indonesia",NA,NA,NA,NA
Access,98,1999-06-12,96.99,18184,19.201715794104707,NA,0,NA,NA,NA,NA,NA,tourer,Bali,Indonesia,NA,Lovina-Gilimanuk,1999,6,Jun 1999,1995,"Bali, Indonesia",NA,NA,NA,NA
Access,119,1999-06-13,76.35,11675,23.542612419700212,NA,0,NA,NA,NA,NA,NA,tourer,Bali,Indonesia,NA,Gilimanuk-Lovina,1999,6,Jun 1999,1995,"Bali, Indonesia",NA,NA,NA,NA
Access,106,1999-06-14,89.31,15532,20.700231779551892,NA,0,NA,NA,NA,NA,NA,tourer,Bali,Indonesia,NA,Lovina-Amed,1999,6,Jun 1999,1995,"Bali, Indonesia",NA,NA,NA,NA
Access,150,1999-06-15,66.46,17156,13.945908137094893,NA,0,NA,NA,NA,NA,NA,tourer,Bali,Indonesia,NA,Amed-Padangbai-Ferry to Lembar,1999,6,Jun 1999,1995,"Bali, Indonesia",NA,NA,NA,NA
Access,126,1999-06-16,74.99,15676,17.22148507272263,NA,0,NA,NA,NA,NA,NA,tourer,Bali,Indonesia,NA,Lembar-Tetebatu,1999,6,Jun 1999,1995,"Bali, Indonesia",NA,NA,NA,NA
Access,149,1999-06-17,66.9,10817,22.264953314227608,NA,0,NA,NA,NA,NA,NA,tourer,Bali,Indonesia,NA,Tetebatu-Kuta,1999,6,Jun 1999,1995,"Bali, Indonesia",NA,NA,NA,NA
Access,239,1999-06-18,22.74,5505,14.870844686648502,NA,0,NA,NA,NA,NA,NA,tourer,Bali,Indonesia,NA,Around Kuta,1999,6,Jun 1999,1995,"Bali, Indonesia",NA,NA,NA,NA
Access,147,1999-06-19,68.34,13552,18.154073199527744,NA,0,NA,NA,NA,NA,NA,tourer,Bali,Indonesia,NA,Kuta-Lembar-Ferry to Padangbai,1999,6,Jun 1999,1995,"Bali, Indonesia",NA,NA,NA,NA
Access,208,1999-06-20,39.7,10422,13.713298791019,NA,0,NA,NA,NA,NA,NA,tourer,Bali,Indonesia,NA,Padangbai-Tirta Gangga via Putung,1999,6,Jun 1999,1995,"Bali, Indonesia",NA,NA,NA,NA
Access,101,1999-06-21,93.91,16515,20.470844686648498,NA,0,NA,NA,NA,NA,NA,tourer,Bali,Indonesia,NA,Tirta Gangga-Ubud via Pura Besakih and Batur,1999,6,Jun 1999,1995,"Bali, Indonesia",NA,NA,NA,NA
Access,97,1999-06-23,98.74,17151,20.725555361203426,NA,0,NA,NA,NA,NA,NA,tourer,Bali,Indonesia,NA,Ubud-Pura Luhur Batukau-Ubud,1999,6,Jun 1999,1995,"Bali, Indonesia",NA,NA,NA,NA
Access,183,1999-06-24,47.5,7983,21.420518602029315,NA,0,NA,NA,NA,NA,NA,tourer,Bali,Indonesia,NA,Ubud-Kuta-Airport,1999,6,Jun 1999,1995,"Bali, Indonesia",NA,NA,NA,NA
Access,243,1999-06-27,16.47,4099,14.464991461332032,NA,0,NA,NA,NA,NA,NA,mtb,South Australia,Australia,NA,"Devills Gully Race.  Sports, came 4th by <50m to 3rd.",1999,6,Jun 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,151,1999-06-28,66.12,8284,28.733944954128443,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Old Belair Rd-Mark's-Flinders Med Centre-Seacliff-Westlakes-Pt Rd,1999,6,Jun 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,241,1999-06-29,20.51,3054,24.176817288801573,NA,1,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Belair Rd-Mark's to pick up the car,1999,6,Jun 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,138,1999-06-30,71.55,9920,25.965725806451612,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit-Toward Lobethal and Return via Norton Summit,1999,6,Jun 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,210,1999-07-01,38.84,5139,27.20840630472855,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Anzac Hwy-Seacliff-Home via small hills,1999,7,Jul 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,99,1999-07-02,96.45,12549,27.669136983026537,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Belair-Seacliff-West Lakes-Gnd Junction Rd-Sudholz Rd-Norton Summit,1999,7,Jul 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,93,1999-07-03,102.21,13711,26.83655459120414,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Eastwood-Goolwa with detour to return for pump,1999,7,Jul 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,110,1999-07-04,84.43,12959,23.45458754533529,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Goolwa-Clapham,1999,7,Jul 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,140,1999-07-06,71.1,9514,26.903510615934408,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Seacliff-Glenelg-Greenhill Rd-Norton Summit-Greenhill Rd,1999,7,Jul 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,190,1999-07-07,44.54,6502,24.660719778529685,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Kensington-Coach Rd-Norton Summit-Mt Lofty-Belair NP-Clapham,1999,7,Jul 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,108,1999-07-10,86.6,11222,27.78114418107289,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Corkscrew Rd-Devitation Rd-Stirling-Belair NP-Shepherds Hill Rd-Clapham,1999,7,Jul 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,159,1999-07-11,57.29,8832,23.351902173913047,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit-Deviation Rd-Stirling-Belair NP-Clapham (flat on way out of Stirling),1999,7,Jul 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,194,1999-07-12,44.25,5774,27.589192933841357,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit-Lofty Summit-Belair NP-Clapham,1999,7,Jul 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,128,1999-07-15,74.9,10261,26.27814053211188,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Corkscrew Rd-Norton Summit-Lofty Summit-Belair NP-Shepherds Hill Rd-Eastwood,1999,7,Jul 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,223,1999-07-16,33,5400,22,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit-Greenhill Rd-Kensington,1999,7,Jul 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,100,1999-07-17,95.23,13435,25.517528842575366,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Montacute Rd-Deviation Rd-Belair NP-Shepherds Hill Rd-Seacliff-Daws Rd-Clapham-Eastwood,1999,7,Jul 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,166,1999-07-19,53,7200,26.5,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit-Mt Lofty-Belair NP-Clapham-Eastwood,1999,7,Jul 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,217,1999-07-21,36.68,4751,27.793727636287098,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Seacliff-Glenelg-Greenhill Rd,1999,7,Jul 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,142,1999-07-24,70.63,9811,25.916624197329526,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Belair Rd-Mark's-Kangarilla-Home via Belair Rd,1999,7,Jul 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,225,1999-07-25,30,5629,19.186356368804407,NA,0,NA,NA,NA,NA,NA,mtb,South Australia,Australia,NA,"Jupiter Creek Race.  Sports, came 6th by 10m to 7th.",1999,7,Jul 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,214,1999-07-26,37.43,5271,25.564029595902106,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Clapham-Seacliff-Glenelg-Anzac Hwy,1999,7,Jul 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,129,1999-07-27,74.41,10362,25.851766068326576,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit-Glenelg-Seacliff-Shepherds Hill Rd-Belair-Eastwood,1999,7,Jul 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,136,1999-07-29,71.75,9041,28.569848468089813,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit-Glenelg-Seacliff-East Parkway-Cross Rd-Eastwood,1999,7,Jul 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,187,1999-07-30,46.59,7017,23.902522445489527,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit-Lofty Summit-Belair NP-Eastwood,1999,7,Jul 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,172,1999-07-31,51.56,7051,26.324776627428736,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Old 1.5 hr ride from Eastwood,1999,7,Jul 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,104,1999-08-01,90.31,12370,26.282619240097013,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Montacute-Lofty-Loftia-Clarendon T/off-Blacks-Seacliff-Glenelg-Cross,1999,8,Aug 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,213,1999-08-02,37.52,4632,29.160621761658035,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Glenelg-Seacliff-Goodwood-Cross,1999,8,Aug 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,141,1999-08-03,70.74,8995,28.31172873818788,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit-Glenelg-Seacliff-Goodwood-Cross-Eastwood,1999,8,Aug 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,135,1999-08-05,71.87,9246,27.983127839065542,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Norton Summit-Glenelg-Seacliff-Home via small hills,1999,8,Aug 1999,1995,"South Australia, Australia",NA,NA,NA,NA
Access,215,1999-08-06,37.38,4836,27.82630272952854,NA,0,NA,NA,NA,NA,NA,roadie,South Australia,Australia,NA,Glenelg-Seacliff-Goodwood-Cross,1999,8,Aug 1999,1995,"South Australia, Australia",NA,NA,NA,NA
