RideID,PersonID,RideTypeID,Date,BikeID,Dist,Time,Ascent,E1,E2,E3,E4,MaxHR,AvHR,AvCad,MaxCad,State,Country,Notes,Gen_Notes,s_ColLineage,s_Generation,s_GUID,s_Lineage
182,1,3,4/06/1999 0:00,6,47.92,1899-12-30 02:20:45,,,,,,,,,,Bali,Indonesia,Eastwood-Airport-Airport-Ubud,1,,1,,
180,1,3,5/06/1999 0:00,6,48.16,1899-12-30 02:25:17,,,,,,,,,,Bali,Indonesia,Around Ubud,1,,1,,
178,1,3,6/06/1999 0:00,6,49.23,1899-12-30 03:47:09,,,,,,,,,,Bali,Indonesia,Ubud-Kedisan,1,,1,,
237,1,3,7/06/1999 0:00,6,24.74,1899-12-30 01:38:24,,,,,,,,,,Bali,Indonesia,Around Kedisan,1,,1,,
145,1,3,8/06/1999 0:00,6,68.64,1899-12-30 03:41:23,,,,,,,,,,Bali,Indonesia,Kedisan-Ubud,1,,1,,
109,1,3,9/06/1999 0:00,6,85.63,1899-12-30 05:38:59,,,,,,,,,,Bali,Indonesia,Ubud-Candikuning,1,,1,,
158,1,3,10/06/1999 0:00,6,57.5,1899-12-30 03:32:35,,,,,,,,,,Bali,Indonesia,Candikuning-Lovina,1,,1,,
98,1,3,12/06/1999 0:00,6,96.99,1899-12-30 05:03:04,,,,,,,,,,Bali,Indonesia,Lovina-Gilimanuk,1,,1,,
119,1,3,13/06/1999 0:00,6,76.35,1899-12-30 03:14:35,,,,,,,,,,Bali,Indonesia,Gilimanuk-Lovina,1,,1,,
106,1,3,14/06/1999 0:00,6,89.31,1899-12-30 04:18:52,,,,,,,,,,Bali,Indonesia,Lovina-Amed,1,,1,,
150,1,3,15/06/1999 0:00,6,66.46,1899-12-30 04:45:56,,,,,,,,,,Bali,Indonesia,Amed-Padangbai-Ferry to Lembar,1,,1,,
126,1,3,16/06/1999 0:00,6,74.99,1899-12-30 04:21:16,,,,,,,,,,Bali,Indonesia,Lembar-Tetebatu,1,,1,,
149,1,3,17/06/1999 0:00,6,66.9,1899-12-30 03:00:17,,,,,,,,,,Bali,Indonesia,Tetebatu-Kuta,1,,1,,
239,1,3,18/06/1999 0:00,6,22.74,1899-12-30 01:31:45,,,,,,,,,,Bali,Indonesia,Around Kuta,1,,1,,
147,1,3,19/06/1999 0:00,6,68.34,1899-12-30 03:45:52,,,,,,,,,,Bali,Indonesia,Kuta-Lembar-Ferry to Padangbai,1,,1,,
208,1,3,20/06/1999 0:00,6,39.7,1899-12-30 02:53:42,,,,,,,,,,Bali,Indonesia,Padangbai-Tirta Gangga via Putung,1,,1,,
101,1,3,21/06/1999 0:00,6,93.91,1899-12-30 04:35:15,,,,,,,,,,Bali,Indonesia,Tirta Gangga-Ubud via Pura Besakih and Batur,1,,1,,
97,1,3,23/06/1999 0:00,6,98.74,1899-12-30 04:45:51,,,,,,,,,,Bali,Indonesia,Ubud-Pura Luhur Batukau-Ubud,1,,1,,
183,1,3,24/06/1999 0:00,6,47.5,1899-12-30 02:13:03,,,,,,,,,,Bali,Indonesia,Ubud-Kuta-Airport,1,,1,,
243,1,7,27/06/1999 0:00,8,16.47,1899-12-30 01:08:19,,,,,,,,,,South Australia,Australia,"Devills Gully Race.  Sports, came 4th by <50m to 3rd.",1,,1,,
151,1,1,28/06/1999 0:00,7,66.12,1899-12-30 02:18:04,,,,,,,,,,South Australia,Australia,Old Belair Rd-Mark's-Flinders Med Centre-Seacliff-Westlakes-Pt Rd,1,,1,,
241,1,11,29/06/1999 0:00,7,20.51,1899-12-30 00:50:54,,,,,,,,,,South Australia,Australia,Belair Rd-Mark's to pick up the car,1,,1,,
138,1,1,30/06/1999 0:00,7,71.55,1899-12-30 02:45:20,,,,,,,,,,South Australia,Australia,Norton Summit-Toward Lobethal and Return via Norton Summit,1,,1,,
210,1,1,1/07/1999 0:00,7,38.84,1899-12-30 01:25:39,,,,,,,,,,South Australia,Australia,Anzac Hwy-Seacliff-Home via small hills,1,,1,,
99,1,1,2/07/1999 0:00,7,96.45,1899-12-30 03:29:09,,,,,,,,,,South Australia,Australia,Belair-Seacliff-West Lakes-Gnd Junction Rd-Sudholz Rd-Norton Summit,1,,1,,
93,1,1,3/07/1999 0:00,7,102.21,1899-12-30 03:48:31,,,,,,,,,,South Australia,Australia,Eastwood-Goolwa with detour to return for pump,1,,1,,
110,1,1,4/07/1999 0:00,7,84.43,1899-12-30 03:35:59,,,,,,,,,,South Australia,Australia,Goolwa-Clapham,1,,1,,
140,1,1,6/07/1999 0:00,7,71.1,1899-12-30 02:38:34,,,,,,,,,,South Australia,Australia,Seacliff-Glenelg-Greenhill Rd-Norton Summit-Greenhill Rd,1,,1,,
190,1,1,7/07/1999 0:00,7,44.54,1899-12-30 01:48:22,,,,,,,,,,South Australia,Australia,Kensington-Coach Rd-Norton Summit-Mt Lofty-Belair NP-Clapham,1,,1,,
108,1,1,10/07/1999 0:00,7,86.6,1899-12-30 03:07:02,,,,,,,,,,South Australia,Australia,Corkscrew Rd-Devitation Rd-Stirling-Belair NP-Shepherds Hill Rd-Clapham,1,,1,,
159,1,1,11/07/1999 0:00,7,57.29,1899-12-30 02:27:12,,,,,,,,,,South Australia,Australia,Norton Summit-Deviation Rd-Stirling-Belair NP-Clapham (flat on way out of Stirling),1,,1,,
194,1,1,12/07/1999 0:00,7,44.25,1899-12-30 01:36:14,,,,,,,,,,South Australia,Australia,Norton Summit-Lofty Summit-Belair NP-Clapham,1,,1,,
128,1,1,15/07/1999 0:00,7,74.9,1899-12-30 02:51:01,,,,,,,,,,South Australia,Australia,Corkscrew Rd-Norton Summit-Lofty Summit-Belair NP-Shepherds Hill Rd-Eastwood,1,,1,,
223,1,1,16/07/1999 0:00,7,33,1899-12-30 01:30:00,,,,,,,,,,South Australia,Australia,Norton Summit-Greenhill Rd-Kensington,1,,1,,
100,1,1,17/07/1999 0:00,7,95.23,1899-12-30 03:43:55,,,,,,,,,,South Australia,Australia,Montacute Rd-Deviation Rd-Belair NP-Shepherds Hill Rd-Seacliff-Daws Rd-Clapham-Eastwood,1,,1,,
166,1,1,19/07/1999 0:00,7,53,1899-12-30 02:00:00,,,,,,,,,,South Australia,Australia,Norton Summit-Mt Lofty-Belair NP-Clapham-Eastwood,1,,1,,
217,1,1,21/07/1999 0:00,7,36.68,1899-12-30 01:19:11,,,,,,,,,,South Australia,Australia,Seacliff-Glenelg-Greenhill Rd,1,,1,,
142,1,1,24/07/1999 0:00,7,70.63,1899-12-30 02:43:31,,,,,,,,,,South Australia,Australia,Belair Rd-Mark's-Kangarilla-Home via Belair Rd,1,,1,,
225,1,7,25/07/1999 0:00,8,30,1899-12-30 01:33:49,,,,,,,,,,South Australia,Australia,"Jupiter Creek Race.  Sports, came 6th by 10m to 7th.",1,,1,,
214,1,1,26/07/1999 0:00,7,37.43,1899-12-30 01:27:51,,,,,,,,,,South Australia,Australia,Clapham-Seacliff-Glenelg-Anzac Hwy,1,,1,,
129,1,1,27/07/1999 0:00,7,74.41,1899-12-30 02:52:42,,,,,,,,,,South Australia,Australia,Norton Summit-Glenelg-Seacliff-Shepherds Hill Rd-Belair-Eastwood,1,,1,,
136,1,1,29/07/1999 0:00,7,71.75,1899-12-30 02:30:41,,,,,,,,,,South Australia,Australia,Norton Summit-Glenelg-Seacliff-East Parkway-Cross Rd-Eastwood,1,,1,,
187,1,1,30/07/1999 0:00,7,46.59,1899-12-30 01:56:57,,,,,,,,,,South Australia,Australia,Norton Summit-Lofty Summit-Belair NP-Eastwood,1,,1,,
172,1,1,31/07/1999 0:00,7,51.56,1899-12-30 01:57:31,,,,,,,,,,South Australia,Australia,Old 1.5 hr ride from Eastwood,1,,1,,
104,1,1,1/08/1999 0:00,7,90.31,1899-12-30 03:26:10,,,,,,,,,,South Australia,Australia,Montacute-Lofty-Loftia-Clarendon T/off-Blacks-Seacliff-Glenelg-Cross,1,,1,,
213,1,1,2/08/1999 0:00,7,37.52,1899-12-30 01:17:12,,,,,,,,,,South Australia,Australia,Glenelg-Seacliff-Goodwood-Cross,1,,1,,
141,1,1,3/08/1999 0:00,7,70.74,1899-12-30 02:29:55,,,,,,,,,,South Australia,Australia,Norton Summit-Glenelg-Seacliff-Goodwood-Cross-Eastwood,1,,1,,
135,1,1,5/08/1999 0:00,7,71.87,1899-12-30 02:34:06,,,,,,,,,,South Australia,Australia,Norton Summit-Glenelg-Seacliff-Home via small hills,1,,1,,
215,1,1,6/08/1999 0:00,7,37.38,1899-12-30 01:20:36,,,,,,,,,,South Australia,Australia,Glenelg-Seacliff-Goodwood-Cross,1,,1,,
115,1,1,10/08/1999 0:00,7,80.49,1899-12-30 02:58:55,,,,,,,,,,South Australia,Australia,Norton Summit-Greenhill-Glenelg-Seacliff-small hills-belair rd-old belair rd,1,,1,,
103,1,1,12/08/1999 0:00,7,91.81,1899-12-30 03:11:27,,,,,,,,,,South Australia,Australia,Foothills to Gorge-Port-West Lakes-Seacliff-Belair-Eastwood,1,,1,,
105,1,1,14/08/1999 0:00,7,90.11,1899-12-30 03:26:19,,,,,,,,,,South Australia,Australia,Norton Summit-Norton Summit-Lofty-Belair-Shepherds-Belair-Old Belair,1,,1,,
85,1,1,15/08/1999 0:00,7,132,1899-12-30 05:10:00,,,,,,,,,,South Australia,Australia,Belair Rd-Clarendon-Willunga-Meadows-Echunga-Belair NP-Belair Rd,1,,1,,
212,1,1,23/08/1999 0:00,7,37.54,1899-12-30 01:20:44,,,,,,,,,,South Australia,Australia,Glenelg-Seacliff-Goodwood-Cross,1,,1,,
