"FrameID","FrameMan","FrameModel","FrameNotes","s_ColLineage","s_Generation","s_GUID","s_Lineage"
-1675902637,"Trek","1500","Dave Wildo",,122,,
-1479174199,"Trek","520","Bec's",,40,,
-361177460,"Commencal","Meta 4.1","Commencal Meta 4.1",,0,,
2,"Avanti","Competitor Pro","Avanti Competitor",,1,,
3,"Specialized","Allez Comp 2003","Allez Comp 2003 (Bec's)",,1,,
4,"Specialized","Allez Comp 2000","Specialized Allez Comp",,1,,
5,"Specialized","Allez Pro","Specialized Allez Pro",,1,,
6,"Specialized","Stumpjumper Comp","Stumpjumper Bec's",,1,,
7,"Specialized","Stumpjumper Comp","Stumpjumper Nigel's",,1,,
8,"TimBellotti","Evo 3*1","Evo 3*1",,1,,
9,"Giant","TCR2","Giant TCR2",,1,,
10,"Giant","ATX 890","Giant ATX 890",,1,,
11,"Norco","Team 853","Norco Team 853",,1,,
12,"run","run","run",,1,,
13,"Vetta","Vetta","Vetta",,1,,
15,"Specialized","Epic Pro","JT's",,1,,
105349566,"Trek","520","Nigel's",,11,,
146959417,"Specialized","S-Works Tarmac","Tarmac",,111,,
351607125,"Avanti","Competitor Grey","D R Competitor",,122,,
1343738354,"Avanti","Competitor Green","D T Competitor",,122,,
1740662712,"Specialized","S-Works Epic","Bec's Epic",,0,,
-954828692,"Commencal","Super4","Commencal Super4",,0,,
